id,Area,BHK,Bathroom,Furnishing,Locality,Place,Parking,Price,Status,Transaction,Type,Per_Sqft
186,1450,3,3,Semi-Furnished,"Safdarjung Enclave carpet area 1450 sqft status Ready to Move floor 3 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold Park facing builder floor apartment available for sale in safderjung enclave, 3 bedroom with attached bathroom, drawing dinning, modular kitchen. the property is on the top floor of a four storey building with terrace right, servant quarter, 1 car parking in stilt. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes Realty 1000+ Buyers Served",Safdarjung Enclave,1,37500000,Ready_to_move,Resale,Builder_Floor,14818
187,2100,3,3,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,37000000,Ready_to_move,Resale,Apartment,17619
188,2000,4,4,Unfurnished,"DDA Flats Vasant Kunj, Vasant Kunj Sector B",Vasant kunj,2,36500000,Ready_to_move,Resale,Apartment,
189,2700,4,4,Unfurnished,Greater Kailash 4 Nri Colony,kailash,2,36500000,Ready_to_move,Resale,Builder_Floor,12500
190,2125,3,3,Semi-Furnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",Common wealth games,2,36500000,Ready_to_move,Resale,Apartment,17176
191,1700,3,3,Semi-Furnished,"Sarva Priya Apartment, Hauz Khas carpet area 1700 sqft status Ready to Move floor 1 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park society Sarva Priya Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold desperarte sale ,its clear tile, proper cross ventilation ,proper an matter for one week ,crystle sunlight found, and air,ICIC BANK LOAN APPROVAL, good to see , have lucky chance to get such a reraly rare property read more Contact Agent View Phone No. Share Feedback Agent New Capital Properties 1000+ Buyers Served",Hauz Khas,1,36500000,Ready_to_move,Resale,Apartment,25000
192,2105,3,3,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,36200000,Ready_to_move,Resale,Apartment,17197
193,2000,4,4,Semi-Furnished,Malviya Nagar,Malviya Nagar,2,36000000,Ready_to_move,New_Property,Builder_Floor,14888
194,1500,3,3,Semi-Furnished,Commonwealth Games Village 2010,Common wealth games,3,35500000,Ready_to_move,Resale,Apartment,20558
195,1800,4,3,Furnished,"Kanti Nagar East, Shahdara",shahdara,0,35000000,Ready_to_move,Resale,Builder_Floor,19444
196,65,3,2,Semi-Furnished,"Shanti Mohalla, Shahdara",shahdara,0,35000000,Ready_to_move,New_Property,Apartment,7143
197,1650,3,3,Unfurnished,Chittaranjan Park,Chittarajan,5,35000000,Ready_to_move,New_Property,Builder_Floor,6878
198,2572,3,3,Furnished,Punjabi Bagh West,Punjabi Bhag,4,35000000,Ready_to_move,Resale,Apartment,13608
199,3150,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,3,35000000,Ready_to_move,Resale,Builder_Floor,11111
200,1350,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,2,35000000,Ready_to_move,Resale,Builder_Floor,
201,1800,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,2,35000000,Almost_ready,New_Property,Builder_Floor,18507
202,1750,3,3,Unfurnished,Hauz Khas,Hauz Khas,2,35000000,Ready_to_move,Resale,Builder_Floor,170000
203,312,4,4,Furnished,"Bank Enclave, Laxmi Nagar",Laxmi Nagar,1,35000000,Ready_to_move,Resale,Apartment,112179
204,1980,3,4,Unfurnished,"Sarva Priya Apartment, Hauz Khas",Hauz Khas,1,35000000,Almost_ready,New_Property,Apartment,17677
205,1650,3,3,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,1,35000000,Ready_to_move,New_Property,Builder_Floor,14818
206,2100,3,4,Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,2,34300000,Ready_to_move,Resale,Apartment,16333
207,1700,3,3,Unfurnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",Common wealth games,2,34000000,Ready_to_move,Resale,Apartment,17906
208,1400,3,3,Semi-Furnished,"Shivalik, Malviya Nagar",Malviya Nagar,2,34000000,Ready_to_move,New_Property,Builder_Floor,
209,1450,3,3,Semi-Furnished,"RWA Flats, Saket",saket,1,34000000,Almost_ready,New_Property,Builder_Floor,28846
210,2250,4,4,Semi-Furnished,Saket,saket,2,33700000,Ready_to_move,Resale,Builder_Floor,14705
211,1600,3,3,Semi-Furnished,Chittaranjan Park,Chittarajan,2,33500000,Ready_to_move,New_Property,Builder_Floor,20938
212,1400,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,2,32500000,Ready_to_move,New_Property,Builder_Floor,16176
213,1815,3,3,Semi-Furnished,Commonwealth Games Village 2010,Common wealth games,2,32500000,Ready_to_move,Resale,Apartment,17906
214,1450,3,3,Semi-Furnished,"Punjabi Bagh Enclave, Punjabi Bagh",Punjabi Bhag,2,32500000,Ready_to_move,Resale,Builder_Floor,11905
215,1400,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,32500000,Ready_to_move,New_Property,Builder_Floor,183333
216,1800,3,3,Unfurnished,Saket,saket,1,32500000,Ready_to_move,New_Property,Builder_Floor,18055
217,1300,3,3,Semi-Furnished,"Arjun Nagar, Safdarjung Enclave",Safdarjung Enclave,1,32500000,Ready_to_move,New_Property,Builder_Floor,
218,2300,4,4,Furnished,"Mohinder Apartments, Dwarka",dwarka,1,31500000,Ready_to_move,Resale,Apartment,3524
219,1500,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,31500000,Ready_to_move,Resale,Builder_Floor,22000
220,1500,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,31500000,Ready_to_move,Resale,Builder_Floor,
221,2000,4,3,Furnished,"Mohinder Apartments, Aashirwaad Chowk, Dwarka",dwarka,1,31500000,Ready_to_move,Resale,Apartment,
222,1675,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,2,31000000,Ready_to_move,New_Property,Builder_Floor,18507
223,1700,3,2,Semi-Furnished,Vasant Kunj,Vasant kunj,2,31000000,Ready_to_move,Resale,Builder_Floor,21818
224,2475,4,4,Semi-Furnished,Saket,saket,1,31000000,Ready_to_move,Resale,Builder_Floor,12500
225,2000,3,3,Unfurnished,"DDA Flats Vasant Kunj, Vasant Kunj",Vasant kunj,1,31000000,Ready_to_move,Resale,Apartment,15500
226,2025,4,3,Furnished,Saket,saket,2,30500000,Ready_to_move,Resale,Builder_Floor,6944
227,2430,4,4,Furnished,"Chittaranjan Park carpet area 270 sqyrd status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road car parking 5 Open bathroom 4 balcony 3 ownership Freehold 3 Side Open, Fully ventilated, Close to Market, Above Bank and 24 x 7 ATM because of which good security. Elite Neighbor hood. Very good for Rental Income. Also can be used for commercial Office Purpose by Advocates. read more Contact Owner View Phone No. Share Feedback Owner Mayur Mayur Aggarwal",Chittarajan,5,30000000,Ready_to_move,Resale,Builder_Floor,18333
228,1450,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,2,30000000,Ready_to_move,New_Property,Builder_Floor,
229,1600,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,2,30000000,Ready_to_move,New_Property,Builder_Floor,22000
230,1700,3,3,Semi-Furnished,Saket,saket,2,30000000,Ready_to_move,Resale,Builder_Floor,17647
231,1500,3,3,Semi-Furnished,Saket,saket,2,30000000,Ready_to_move,Resale,Builder_Floor,12500
232,2152.78,3,3,Furnished,"Mianwali Nagar, Paschim Vihar",Paschim vihar,2,30000000,Ready_to_move,New_Property,Builder_Floor,14722
233,1350,3,3,Semi-Furnished,"Shivalik, Malviya Nagar",Malviya Nagar,2,30000000,Ready_to_move,New_Property,Builder_Floor,7200
234,1700,3,3,Unfurnished,"Shivalik, Malviya Nagar",Malviya Nagar,2,30000000,Ready_to_move,New_Property,Builder_Floor,21429
235,1900,4,4,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",dwarka,1,30000000,Ready_to_move,Resale,Apartment,3524
236,2907,4,4,Semi-Furnished,"Sukhdev Vihar, Okhla",okhla,1,30000000,Ready_to_move,Resale,Apartment,10320
237,1650,3,3,Semi-Furnished,Lajpat Nagar,Lajpat,1,30000000,Ready_to_move,Resale,Builder_Floor,
238,1710,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,30000000,Ready_to_move,Resale,Builder_Floor,
239,1600,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,1,30000000,Ready_to_move,New_Property,Builder_Floor,
240,2200,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,1,30000000,Ready_to_move,Resale,Builder_Floor,
241,1600,3,3,Semi-Furnished,Greater Kailash 1,kailash,1,30000000,Ready_to_move,New_Property,Builder_Floor,18750
242,1500,5,3,Furnished,"Yamuna Vihar, Shahdara",shahdara,1,30000000,Ready_to_move,Resale,Builder_Floor,20000
243,1400,3,3,Semi-Furnished,"Shivalik, Malviya Nagar",Malviya Nagar,1,30000000,Ready_to_move,New_Property,Builder_Floor,21429
244,1485,3,3,Unfurnished,"Rishi Apartment, Kalkaji",kalkaji,1,30000000,Ready_to_move,Resale,Apartment,
245,1512,2,2,Unfurnished,"Godrej South Estate, Okhla",okhla,1,30000000,Almost_ready,New_Property,Apartment,19841
246,2800,6,4,Semi-Furnished,"Taimoor Enclave, New Friends Colony carpet area 2800 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park society Taimoor Enclave car parking 2 Covered, 1 Open bathroom 4 balcony 2 ownership Freehold Two floor of the house is available for sale SECOND AND THIRD FLOOR EXTRA made, provision for LIFT can be provided by the OWNER .DDA FLATS of TAIMOOR ENCLAVE, NEAR GURUDWARA, NEW FRIENDS COLONY, SOUTH DELHI , HOUSE IS ON THE SECOND FLOOR have 3 bed room and 2 wash room and and same on the Third Floor, URGENT SALE, BROKER EXCUSE. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes 100+ Buyers Served",New Friends Colony,2,29500000,Ready_to_move,Resale,Apartment,15459
247,1600,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,2,29500000,Ready_to_move,Resale,Builder_Floor,15556
248,1700,4,3,Semi-Furnished,Saket,saket,2,29500000,Ready_to_move,Resale,Builder_Floor,21071
249,2097,3,3,Unfurnished,Chittaranjan Park,Chittarajan,0,29000000,Ready_to_move,Resale,Builder_Floor,
250,1700,3,3,Semi-Furnished,"RWA Flats, Saket",saket,2,29000000,Ready_to_move,New_Property,Builder_Floor,18000
251,1800,3,3,Semi-Furnished,Chittaranjan Park,Chittarajan,2,29000000,Ready_to_move,Resale,Builder_Floor,6878
252,1750,4,4,Unfurnished,Vasant Kunj Sector C,Vasant kunj,1,29000000,Ready_to_move,New_Property,Apartment,20833
253,1750,4,4,Unfurnished,Vasant Kunj Sector C,Vasant kunj,1,29000000,Ready_to_move,New_Property,Apartment,6667
254,1250,2,3,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,1,29000000,Ready_to_move,Resale,Apartment,17197
255,1620,3,3,Semi-Furnished,"Punjabi Bagh Extension, Punjabi Bagh",Punjabi Bhag,1,29000000,Ready_to_move,New_Property,Builder_Floor,11905
256,810,5,6,Furnished,Geeta Colony,Geeta Colony,1,28900000,Ready_to_move,Resale,Apartment,6667
257,1400,2,3,Unfurnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,28600000,Ready_to_move,Resale,Apartment,20967
258,1900,3,4,Semi-Furnished,Chittaranjan Park,Chittarajan,2,28500000,Ready_to_move,New_Property,Builder_Floor,6878
259,1800,3,3,Unfurnished,Lajpat Nagar 2,Lajpat,1,28500000,Ready_to_move,New_Property,Builder_Floor,7000
260,1500,3,2,Semi-Furnished,Saket,saket,1,28500000,Ready_to_move,New_Property,Builder_Floor,28846
261,1700,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,1,28000000,Ready_to_move,Resale,Builder_Floor,15556
262,990,3,3,Furnished,"Press Enclave Society, Saket",saket,1,28000000,Ready_to_move,Resale,Apartment,6944
263,195,3,3,Semi-Furnished,"Punjabi Bagh Extension, Punjabi Bagh",Punjabi Bhag,1,28000000,Almost_ready,New_Property,Builder_Floor,11905
264,1600,3,4,Semi-Furnished,Hauz Khas,Hauz Khas,2,27500000,Ready_to_move,Resale,Builder_Floor,18055
265,1800,3,3,Semi-Furnished,Punjabi Bagh,Punjabi Bhag,2,27500000,Ready_to_move,New_Property,Builder_Floor,11905
266,1550,3,3,Unfurnished,"Mandakini Enclave Project, Kalkaji",kalkaji,2,27500000,Ready_to_move,Resale,Builder_Floor,18000
267,1455,2,2,Semi-Furnished,Commonwealth Games Village 2010,Common wealth games,2,27500000,Ready_to_move,Resale,Apartment,18900
268,2000,4,4,Semi-Furnished,"Sukhdev Vihar, Okhla",okhla,1,27500000,Ready_to_move,Resale,Builder_Floor,5556
269,1700,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,27500000,Ready_to_move,Resale,Builder_Floor,16176
270,14220,3,3,Semi-Furnished,Paschim Vihar Block B4,Paschim vihar,1,27500000,Ready_to_move,New_Property,Builder_Floor,10943
271,2700,4,3,Furnished,"Sadbhawna CGHS, Aashirwaad Chowk, Dwarka",dwarka,1,27500000,Ready_to_move,Resale,Apartment,10700
272,1912,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",karol bagh,1,27500000,Almost_ready,New_Property,Apartment,14382
273,1800,3,3,Furnished,Punjabi Bagh East,Punjabi Bhag,1,27500000,Ready_to_move,Resale,Builder_Floor,15278
274,1200,2,2,Furnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,1,27500000,Ready_to_move,Resale,Builder_Floor,18055
275,1800,3,3,Semi-Furnished,"Patel Nagar East, Patel Nagar",Patel Nagar,2,27000000,Ready_to_move,Resale,Builder_Floor,8421
276,1500,3,3,Semi-Furnished,Saket,saket,1,27000000,Ready_to_move,Resale,Builder_Floor,18000
277,1240,3,3,Unfurnished,"Kailash Colony, Greater Kailash",kailash,2,26500000,Ready_to_move,New_Property,Builder_Floor,20930
278,1530,3,3,Semi-Furnished,"Patel Nagar East, Patel Nagar",Patel Nagar,2,26500000,Ready_to_move,Resale,Builder_Floor,7500
279,2970,7,4,Furnished,"Yamuna Vihar, Shahdara",shahdara,1,26500000,Ready_to_move,Resale,Builder_Floor,8923
280,1500,3,3,Unfurnished,Alaknanda,Alaknanda,1,26500000,Ready_to_move,New_Property,Apartment,
281,1800,3,2,Unfurnished,Paschim Vihar Block B4,Paschim vihar,1,26500000,Ready_to_move,Resale,Builder_Floor,14722
282,1620,3,3,Semi-Furnished,"Reserve Bank Enclave, Paschim Vihar",Paschim vihar,0,26000000,Ready_to_move,New_Property,Builder_Floor,
283,1710,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,4,26000000,Ready_to_move,New_Property,Builder_Floor,
284,1440,3,3,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,3,26000000,Ready_to_move,New_Property,Builder_Floor,20000
285,1500,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,2,26000000,Ready_to_move,New_Property,Builder_Floor,
286,1600,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,2,26000000,Ready_to_move,Resale,Builder_Floor,20000
287,1500,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,2,26000000,Ready_to_move,New_Property,Builder_Floor,9259
288,1150,3,3,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,26000000,Ready_to_move,New_Property,Builder_Floor,20930
289,1600,3,3,Semi-Furnished,Kalkaji,kalkaji,2,26000000,Ready_to_move,Resale,Builder_Floor,
290,1400,3,2,Semi-Furnished,"Shivalik Apartments, Alaknanda",Alaknanda,2,26000000,Ready_to_move,Resale,Builder_Floor,
291,2340,4,4,Semi-Furnished,Punjabi Bagh East,Punjabi Bhag,1,26000000,Ready_to_move,Resale,Builder_Floor,15278
292,1500,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,1,26000000,Ready_to_move,New_Property,Builder_Floor,7000
293,1350,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,1,26000000,Ready_to_move,New_Property,Builder_Floor,7000
294,1350,3,3,Unfurnished,"Kailash Colony, Greater Kailash",kailash,1,26000000,Ready_to_move,New_Property,Builder_Floor,19259
295,1800,3,3,Semi-Furnished,"Nehru Enclave, Kalkaji",kalkaji,1,26000000,Ready_to_move,Resale,Builder_Floor,12916
296,1531,2,2,Unfurnished,"Godrej South Estate, Okhla",okhla,2,25900000,Almost_ready,New_Property,Apartment,16917
297,1575,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,1,25500000,Ready_to_move,New_Property,Builder_Floor,9259
298,1150,3,3,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,1,25500000,Ready_to_move,New_Property,Builder_Floor,20930
299,2100,4,3,Furnished,Saket,saket,1,25500000,Ready_to_move,Resale,Apartment,14074
300,1775,3,3,Semi-Furnished,"The Amaryllis, Karol Bagh",karol bagh,1,25500000,Almost_ready,New_Property,Apartment,14366
301,1250,3,3,Semi-Furnished,"Arya Chittaranjan Park, Chittaranjan Park",Chittarajan,1,25500000,Almost_ready,New_Property,Builder_Floor,
302,1350,3,3,None,"Gandhi Nagar, Shahdara",shahdara,0,25000000,Ready_to_move,Resale,None,18519
303,2100,3,4,Semi-Furnished,Saket,saket,2,25000000,Ready_to_move,Resale,Builder_Floor,14705
304,1135,3,3,Furnished,"The Amaryllis, Karol Bagh",karol bagh,2,25000000,Almost_ready,Resale,Apartment,22222
305,1135,3,3,Furnished,"The Amaryllis, Karol Bagh",karol bagh,2,25000000,Almost_ready,Resale,Apartment,14366
306,17010,3,3,Semi-Furnished,Punjabi Bagh West,Punjabi Bhag,2,25000000,Ready_to_move,Resale,Builder_Floor,15278
307,1400,3,2,Semi-Furnished,Vasant Kunj,Vasant kunj,2,25000000,Ready_to_move,New_Property,Apartment,
308,1200,3,2,Semi-Furnished,Vasant Kunj Sector A,Vasant kunj,2,25000000,Ready_to_move,Resale,Apartment,20833
309,1590,3,2,Unfurnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,2,25000000,Ready_to_move,New_Property,Apartment,8889
310,990,3,2,Unfurnished,"New Moti Nagar, Kirti Nagar",Moti Nagar,2,25000000,Ready_to_move,Resale,Apartment,8889
311,1350,3,4,Unfurnished,Lajpat Nagar,Lajpat,1,25000000,Ready_to_move,Resale,Apartment,
312,1150,3,3,Semi-Furnished,Rohini Sector 14,Rohini,1,25000000,Ready_to_move,Resale,Apartment,6154
313,1350,3,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,1,25000000,Ready_to_move,New_Property,Builder_Floor,7000
314,1200,3,3,Unfurnished,"Kailash Colony, Greater Kailash",kailash,1,25000000,Ready_to_move,New_Property,Builder_Floor,20833
315,2430,4,3,Furnished,"Yamuna Vihar, Shahdara",shahdara,1,25000000,Ready_to_move,Resale,Builder_Floor,10288
316,2000,4,3,Semi-Furnished,Saket,saket,1,25000000,Ready_to_move,Resale,Apartment,12500
317,1100,3,3,Unfurnished,"Safdarjung Enclave carpet area 1100 sqft status Ready to Move floor Ground out of 4 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 3 ownership Freehold if you are searching for your dream house, congratulation. you're not so far from your destiny. we got unbeatable ground floor in b-block safdarjung enclave for sale. it is in 150 yds. It has 3 large king sized bedroom attached bathroom with Jacuzzi and roof top shower with all other fittings. it has modular kitchen with all needed facility. it has 3 big balcony with amazing out side view. it has 1 servant quarter also. it has 1 reserved car parking with gated society. It has 24*7 water supply with full power backup. for more information contact us at once because it can be your dream house. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",Safdarjung Enclave,1,25000000,Ready_to_move,Resale,Builder_Floor,14818
318,1900,3,3,Furnished,"Gold Croft Apartment, Aashirwaad Chowk, Dwarka",dwarka,1,25000000,Ready_to_move,Resale,Apartment,
319,1260,3,3,Semi-Furnished,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",Moti Nagar,1,25000000,Ready_to_move,Resale,Apartment,8889
320,2100,3,3,Semi-Furnished,"Punjabi Bagh Enclave, Shivaji Park, Punjabi Bagh",Punjabi Bhag,1,25000000,Ready_to_move,Resale,Builder_Floor,11905
321,1600,3,2,Semi-Furnished,"Ganga Apartment Sector D Pocket 6, Vasant Kunj",Vasant kunj,1,25000000,Ready_to_move,Resale,Apartment,20833
322,976,2,2,Furnished,"Godrej South Estate, Okhla",okhla,2,24900000,Almost_ready,New_Property,Apartment,25512
323,976,2,2,Unfurnished,"Godrej South Estate, Okhla Phase 1",okhla,2,24900000,Almost_ready,New_Property,Apartment,30000
324,976,2,2,Furnished,"Godrej South Estate, Okhla",okhla,1,24900000,Ready_to_move,New_Property,Apartment,25512
325,945,2,2,Semi-Furnished,"Godrej South Estate, Okhla Phase 1",okhla,1,24900000,Almost_ready,New_Property,Apartment,30000
326,1710,3,3,Semi-Furnished,Lajpat Nagar 3,Lajpat,1,24800000,Ready_to_move,Resale,Builder_Floor,
327,979.5149,2,2,Unfurnished,"Godrej South Estate, Okhla Phase 1",okhla,1,24800000,Almost_ready,New_Property,Apartment,30000
328,1500,2,2,Furnished,"Godrej South Estate, Okhla",okhla,2,24700000,Almost_ready,New_Property,Apartment,16466
329,1135,3,3,Furnished,"The Amaryllis, Karol Bagh",karol bagh,2,24500000,Almost_ready,Resale,Apartment,13324
330,1440,3,3,Unfurnished,"Punjabi Bagh Extension, Punjabi Bagh",Punjabi Bhag,2,24500000,Ready_to_move,Resale,Builder_Floor,11905
331,2300,4,4,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",Rohini,1,24500000,Ready_to_move,New_Property,Builder_Floor,6714
332,1400,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,1,24500000,Ready_to_move,Resale,Builder_Floor,183333
333,1800,3,3,Unfurnished,Lajpat Nagar 3,Lajpat,1,24500000,Ready_to_move,Resale,Apartment,183333
334,1620,3,3,Furnished,"LIC Colony, Paschim Vihar",Paschim vihar,1,24500000,Ready_to_move,New_Property,Builder_Floor,13889
335,1150,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",Lajpat,2,24000000,Ready_to_move,New_Property,Builder_Floor,22000
336,1100,2,2,Semi-Furnished,Vasant Kunj Sector C,Vasant kunj,2,24000000,Ready_to_move,Resale,Apartment,21818
337,1850,3,4,Semi-Furnished,Dwarka,dwarka,1,24000000,Ready_to_move,Resale,Apartment,3524
338,1800,3,3,Unfurnished,Patel Nagar West,Patel Nagar,1,24000000,Ready_to_move,Resale,Apartment,13333
339,1600,3,3,Semi-Furnished,"Karol Bagh carpet area 1600 sqft status Ready to Move floor 3 out of 3 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold Near to Karol Bagh Metro station...................................... Its a very peaceful location ....................................................................................................................... read more Contact Agent View Phone No. Share Feedback Agent S R B Properties",karol bagh,1,24000000,Ready_to_move,New_Property,Builder_Floor,8761
340,1250,3,3,Semi-Furnished,"Safdarjung Development Area, Hauz Khas",Safdarjung Enclave,1,24000000,Ready_to_move,Resale,Builder_Floor,17677
341,1350,3,2,Furnished,"DDA Pocket 1, Vasant Kunj Sector D",Vasant kunj,1,24000000,Ready_to_move,New_Property,Apartment,21818
342,900,3,2,Semi-Furnished,"Press Enclave Society, Saket",saket,1,24000000,Ready_to_move,Resale,Apartment,28846
343,1600,4,3,Unfurnished,"DDA Flats Pocket 1, Vasant Kunj Sector B",Vasant kunj,2,23500000,Ready_to_move,Resale,Apartment,
344,2200,4,3,Semi-Furnished,"DDA Flats Vasant Kunj, Vasant Kunj Sector C",Vasant kunj,2,23500000,Ready_to_move,Resale,Apartment,10681
345,1450,3,2,Semi-Furnished,"DDA Flats Vasant Kunj, Vasant Kunj Sector D",Vasant kunj,2,23500000,Ready_to_move,Resale,Apartment,15500
346,1350,3,3,Unfurnished,Punjabi Bagh East,Punjabi Bhag,1,23500000,Ready_to_move,Resale,Apartment,15278
347,1291.668,3,2,Unfurnished,Sheikh Sarai Phase 1,Sheikh Sarai,1,23500000,Ready_to_move,Resale,Apartment,10556
348,1800,4,3,Unfurnished,Paschim Vihar Block A2,Paschim vihar,2,23100000,Ready_to_move,Resale,Builder_Floor,14722
349,1800,3,3,Semi-Furnished,"Saket Court Residential Complex, Saket",saket,2,23000000,Ready_to_move,Resale,Apartment,28846
350,1700,3,3,Semi-Furnished,Punjabi Bagh,Punjabi Bhag,2,23000000,Ready_to_move,Resale,Builder_Floor,
351,2200,4,4,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",Rohini,1,23000000,Ready_to_move,New_Property,Builder_Floor,6714
352,1457,3,3,Unfurnished,"New Moti Nagar, Kirti Nagar",Moti Nagar,1,23000000,Ready_to_move,Resale,Apartment,8889
353,1600,3,2,Unfurnished,"Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj Sector D",Vasant kunj,1,23000000,Ready_to_move,Resale,Apartment,
354,3500,4,4,Semi-Furnished,Vasant Kunj,Vasant kunj,5,22500000,Ready_to_move,New_Property,Builder_Floor,14358
355,1300,3,3,Semi-Furnished,Saket,saket,3,22500000,Ready_to_move,Resale,Builder_Floor,6944
356,1600,3,3,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,2,22500000,Ready_to_move,Resale,Builder_Floor,14818
357,1800,3,3,Semi-Furnished,"Gangotri Enclave, Alaknanda",Alaknanda,2,22500000,Ready_to_move,Resale,Apartment,
358,1500,3,3,Semi-Furnished,Sheikh Sarai Phase 1,Sheikh Sarai,2,22500000,Ready_to_move,Resale,Builder_Floor,65714
359,1440,3,3,Semi-Furnished,Chittaranjan Park,Chittarajan,2,22500000,Ready_to_move,New_Property,Builder_Floor,6878
360,1100,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",Lajpat,1,22500000,Ready_to_move,New_Property,Builder_Floor,22000
361,1100,2,3,Semi-Furnished,Lajpat Nagar 2,Lajpat,1,22500000,Ready_to_move,New_Property,Builder_Floor,7000
362,1600,3,3,Unfurnished,"Kailash Colony, Greater Kailash",kailash,1,22500000,Ready_to_move,Resale,Builder_Floor,20833
363,1600,3,3,Semi-Furnished,Sheikh Sarai Phase 1,Sheikh Sarai,1,22500000,Ready_to_move,Resale,Builder_Floor,
364,1650,3,3,Semi-Furnished,Sheikh Sarai Phase 1,Sheikh Sarai,1,22500000,Ready_to_move,Resale,Builder_Floor,15882
365,1200,3,3,Semi-Furnished,Chittaranjan Park,Chittarajan,1,22500000,Ready_to_move,New_Property,Builder_Floor,20938
366,1450,3,3,Semi-Furnished,Chittaranjan Park,Chittarajan,1,22500000,Ready_to_move,Resale,Builder_Floor,18333
367,1080,3,2,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",Lajpat,1,22500000,Ready_to_move,New_Property,Builder_Floor,
368,630,3,2,Furnished,"Yamuna Vihar, Shahdara",shahdara,1,22500000,Ready_to_move,Resale,Builder_Floor,35714
